User,LogDate,LogTime,LogType,Pool,Units,TotalDuration,Calories,TotalLengths,TotalDistance,Nset,Duration,Strokes,Distance,Speed,Efficiency,StrokeRate,HRmin,HRmax,HRavg,HRbegin,HRend,Version
1,11/04/2011,15:00:00,Swim,16,m,00:01:50,13,4,64,1,00:01:40,9,64,156,53,22,,,,,,210
1,11/04/2011,15:03:00,Swim,16,m,00:12:06,57,13,208,1,00:02:29,10,96,155,54,24,,,,,,210
1,11/04/2011,15:03:00,Swim,16,m,00:12:06,57,13,208,2,00:00:51,13,16,319,100,15,,,,,,210
1,11/04/2011,15:03:00,Swim,16,m,00:12:06,57,13,208,3,00:00:02,0,0,0,0,0,,,,,,210
1,11/04/2011,15:03:00,Swim,16,m,00:12:06,57,13,208,4,00:00:25,7,16,156,50,17,,,,,,210
1,11/04/2011,15:03:00,Swim,16,m,00:12:06,57,13,208,5,00:03:51,8,80,289,85,10,,,,,,210
1,11/04/2011,15:03:00,Swim,16,m,00:12:06,57,13,208,6,00:00:04,0,0,0,0,0,,,,,,210
1,11/04/2011,15:03:00,Swim,16,m,00:12:06,57,13,208,7,00:00:04,0,0,0,0,0,,,,,,210
1,11/04/2011,15:15:00,Swim,16,m,00:08:19,74,17,272,1,00:06:33,10,240,164,57,23,,,,,,210
1,11/04/2011,15:15:00,Swim,16,m,00:08:19,74,17,272,2,00:00:57,8,32,178,57,17,,,,,,210
1,12/04/2011,15:31:00,Swim,16,m,00:30:49,277,63,1008,1,00:13:14,12,496,160,59,28,,,,,,210
1,12/04/2011,15:31:00,Swim,16,m,00:30:49,277,63,1008,2,00:15:03,12,512,176,63,26,,,,,,210
1,12/04/2011,15:31:00,Swim,16,m,00:30:49,277,63,1008,3,00:01:26,0,0,0,0,0,,,,,,210
1,12/04/2011,15:31:00,Swim,16,m,00:30:49,277,63,1008,4,00:00:02,0,0,0,0,0,,,,,,210
1,12/04/2011,15:31:00,Swim,16,m,00:30:49,277,63,1008,5,00:00:01,0,0,0,0,0,,,,,,210
1,12/04/2011,15:31:00,Swim,16,m,00:30:49,277,63,1008,6,00:00:02,0,0,0,0,0,,,,,,210
1,19/04/2011,13:41:00,Swim,16,m,00:30:00,255,59,944,1,00:13:05,10,448,175,59,21,,,,,,210
1,19/04/2011,13:41:00,Swim,16,m,00:30:00,255,59,944,2,00:01:35,10,48,198,65,19,,,,,,210
1,19/04/2011,13:41:00,Swim,16,m,00:30:00,255,59,944,3,00:00:02,0,0,0,0,0,,,,,,210
1,19/04/2011,13:41:00,Swim,16,m,00:30:00,255,59,944,4,00:11:53,11,384,186,64,22,,,,,,210
1,19/04/2011,13:41:00,Swim,16,m,00:30:00,255,59,944,5,00:01:41,9,64,158,54,22,,,,,,210
1,19/04/2011,13:41:00,Swim,16,m,00:30:00,255,59,944,6,00:00:02,0,0,0,0,0,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,1,00:02:44,12,125,131,45,22,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,2,00:02:47,18,100,167,60,26,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,3,00:02:47,17,100,167,59,24,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,4,00:02:50,14,100,170,57,20,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,5,00:02:36,14,100,156,53,22,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,6,00:02:30,16,100,150,54,25,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,7,00:01:07,12,50,134,46,21,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,8,00:01:08,14,50,136,48,25,,,,,,210
1,26/04/2011,10:54:00,Swim,25,m,00:31:59,234,34,850,9,00:02:54,14,125,139,49,24,,,,,,210
1,05/05/2011,15:46:00,Swim,16,m,00:24:52,268,62,992,1,00:24:50,12,992,150,56,30,,,,,,210
1,10/05/2011,07:43:00,Swim,16,m,00:23:27,251,57,912,1,00:23:08,11,912,152,55,28,,,,,,210
1,12/05/2011,07:25:00,Chrono,,,01:11:20,,,,1,00:26:09,,,,,,,,,,,210
1,12/05/2011,07:25:00,Chrono,,,01:11:20,,,,2,23:31:13,,,,,,,,,,,210
1,12/05/2011,07:25:00,Chrono,,,01:11:20,,,,3,00:11:39,,,,,,,,,,,210
1,12/05/2011,07:25:00,Chrono,,,01:11:20,,,,4,00:08:10,,,,,,,,,,,210
1,12/05/2011,07:25:00,Chrono,,,01:11:20,,,,5,01:19:26,,,,,,,,,,,210
1,27/06/2011,16:01:00,Swim,16,m,00:23:51,13,3,48,1,00:01:33,10,32,290,88,13,,,,,,210
1,27/06/2011,16:01:00,Swim,16,m,00:23:51,13,3,48,2,00:00:38,4,16,238,66,6,,,,,,210
1,28/06/2011,16:46:00,Swim,16,m,00:51:36,35,8,128,1,00:01:41,8,64,158,52,19,,,,,,210
1,28/06/2011,16:46:00,Swim,16,m,00:51:36,35,8,128,2,00:01:35,8,64,148,50,20,,,,,,210
1,28/06/2011,16:46:00,Swim,16,m,00:51:36,35,8,128,3,00:00:02,0,0,0,0,0,,,,,,210
1,28/06/2011,16:46:00,Swim,16,m,00:51:36,35,8,128,4,00:05:00,0,0,0,0,0,,,,,,210
1,30/06/2011,08:27:00,Chrono,,,23:24:03,,,,1,00:08:29,,,,,,,,,,,210
1,30/06/2011,08:27:00,Chrono,,,23:24:03,,,,2,08:42:40,,,,,,,,,,,210
1,30/06/2011,08:27:00,Chrono,,,23:24:03,,,,3,00:00:02,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,1,00:00:00,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,2,00:00:01,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,3,00:17:00,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,4,22:34:17,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,5,00:56:07,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,6,04:19:55,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,7,00:00:01,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,8,00:00:03,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,9,00:00:02,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,10,00:00:01,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,11,00:03:23,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,12,00:00:01,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,13,00:02:04,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,14,00:00:02,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,15,00:00:09,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,16,00:03:05,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,17,00:00:07,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,18,00:00:07,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,19,00:00:07,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,20,00:00:03,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,21,00:00:14,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,22,00:00:11,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,23,00:00:01,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,24,00:02:44,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,25,00:00:01,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,26,00:00:22,,,,,,,,,,,210
1,07/07/2011,07:52:00,Chrono,,,08:27:23,,,,27,00:00:01,,,,,,,,,,,210
